country,quarter,top5share
GR,2016-Q4,31.17
GR,2017-Q1,31.32
GR,2017-Q2,31.59
GR,2017-Q3,31.58
GR,2017-Q4,31.71
GR,2018-Q1,31.65
GR,2018-Q2,31.56
GR,2018-Q3,31.41
GR,2018-Q4,31.1
GR,2019-Q1,31.27
GR,2019-Q2,31.46
GR,2019-Q3,31.49
GR,2019-Q4,31.63
GR,2020-Q1,30.66
GR,2020-Q2,30.95
GR,2020-Q3,30.98
GR,2020-Q4,31.53
GR,2021-Q1,31.7
GR,2021-Q2,31.84
GR,2021-Q3,31.72
GR,2021-Q4,31.85
GR,2022-Q1,31.79
GR,2022-Q2,31.49
GR,2022-Q3,31.4
GR,2022-Q4,31.88
GR,2023-Q1,31.94
GR,2023-Q2,32.26
GR,2023-Q3,32.15
GR,2023-Q4,32.44
GR,2024-Q1,32.65
GR,2024-Q2,32.67
GR,2024-Q3,32.77
GR,2024-Q4,32.86
GR,2025-Q1,33.04
HR,2017-Q2,48.92
HR,2017-Q3,49.23
HR,2017-Q4,49.32
HR,2018-Q1,49.41
HR,2018-Q2,49.6
HR,2018-Q3,49.76
HR,2018-Q4,49.88
HR,2019-Q1,50.06
HR,2019-Q2,50.37
HR,2019-Q3,50.93
HR,2019-Q4,51.13
HR,2020-Q1,50.72
HR,2020-Q2,51.08
HR,2020-Q3,51.54
HR,2020-Q4,52.34
HR,2021-Q1,52.64
HR,2021-Q2,52.66
HR,2021-Q3,52.99
HR,2021-Q4,53.16
HR,2022-Q1,52.89
HR,2022-Q2,52.72
HR,2022-Q3,52.97
HR,2022-Q4,53.09
HR,2023-Q1,53.44
HR,2023-Q2,53.53
HR,2023-Q3,53.62
HR,2023-Q4,53.88
HR,2024-Q1,54
HR,2024-Q2,53.82
HR,2024-Q3,53.8
HR,2024-Q4,53.76
HR,2025-Q1,53.47
HU,2014-Q3,45.45
HU,2014-Q4,45.93
HU,2015-Q1,46.24
HU,2015-Q2,45.91
HU,2015-Q3,46.07
HU,2015-Q4,46.75
HU,2016-Q1,46.69
HU,2016-Q2,46.63
HU,2016-Q3,46.87
HU,2016-Q4,47.39
HU,2017-Q1,47.49
HU,2017-Q2,47.47
HU,2017-Q3,47.85
HU,2017-Q4,48.43
HU,2018-Q1,47.35
HU,2018-Q2,46.31
HU,2018-Q3,45.47
HU,2018-Q4,44.83
HU,2019-Q1,43.34
HU,2019-Q2,42.24
HU,2019-Q3,41.77
HU,2019-Q4,41.55
HU,2020-Q1,40.45
HU,2020-Q2,40.05
HU,2020-Q3,39.19
HU,2020-Q4,39.06
HU,2021-Q1,38.73
HU,2021-Q2,38.64
HU,2021-Q3,38.88
HU,2021-Q4,39.12
HU,2022-Q1,38.05
HU,2022-Q2,37.34
HU,2022-Q3,37.16
HU,2022-Q4,37.53
HU,2023-Q1,37.64
HU,2023-Q2,37.83
HU,2023-Q3,38.28
HU,2023-Q4,38.59
HU,2024-Q1,38.32
HU,2024-Q2,38.35
HU,2024-Q3,38.65
HU,2024-Q4,38.78
HU,2025-Q1,38.56
IE,2013-Q2,43.85
IE,2013-Q3,43.23
IE,2013-Q4,42.77
IE,2014-Q1,42.95
IE,2014-Q2,41.63
IE,2014-Q3,41.14
IE,2014-Q4,41.41
IE,2015-Q1,41.97
IE,2015-Q2,41.85
IE,2015-Q3,41.68
IE,2015-Q4,42.3
IE,2016-Q1,42.14
IE,2016-Q2,42
IE,2016-Q3,41.79
IE,2016-Q4,41.51
IE,2017-Q1,42.58
IE,2017-Q2,42.08
IE,2017-Q3,41.66
IE,2017-Q4,41.59
IE,2018-Q1,41.38
IE,2018-Q2,41.19
IE,2018-Q3,41.44
IE,2018-Q4,40.72
IE,2019-Q1,40.53
IE,2019-Q2,40.22
IE,2019-Q3,39.41
IE,2019-Q4,38.94
IE,2020-Q1,38.02
IE,2020-Q2,37.8
IE,2020-Q3,37.32
IE,2020-Q4,36.94
IE,2021-Q1,36.91
IE,2021-Q2,36.75
IE,2021-Q3,36.3
IE,2021-Q4,36.18
IE,2022-Q1,36.1
IE,2022-Q2,35.61
IE,2022-Q3,35.4
IE,2022-Q4,35.34
IE,2023-Q1,35.47
IE,2023-Q2,35.84
IE,2023-Q3,35.92
IE,2023-Q4,36.21
IE,2024-Q1,36.4
IE,2024-Q2,36.28
IE,2024-Q3,36.68
IE,2024-Q4,36.53
IE,2025-Q1,36.02
IT,2010-Q4,39.67
IT,2011-Q1,40.04
IT,2011-Q2,39.88
IT,2011-Q3,39.65
IT,2011-Q4,39.86
IT,2012-Q1,40.48
IT,2012-Q2,40.48
IT,2012-Q3,40.86
IT,2012-Q4,41.23
IT,2013-Q1,41.44
IT,2013-Q2,41.73
IT,2013-Q3,42.17
IT,2013-Q4,42.96
IT,2014-Q1,43.61
IT,2014-Q2,44.01
IT,2014-Q3,44.35
IT,2014-Q4,44.32
IT,2015-Q1,45.78
IT,2015-Q2,46.09
IT,2015-Q3,46.35
IT,2015-Q4,46.57
IT,2016-Q1,46.44
IT,2016-Q2,46.78
IT,2016-Q3,47.37
IT,2016-Q4,47.79
IT,2017-Q1,48.19
IT,2017-Q2,47.94
IT,2017-Q3,47.92
IT,2017-Q4,47.7
IT,2018-Q1,47.64
IT,2018-Q2,47.17
IT,2018-Q3,46.91
IT,2018-Q4,46.05
IT,2019-Q1,46.25
IT,2019-Q2,45.99
IT,2019-Q3,46.18
IT,2019-Q4,46.16
IT,2020-Q1,45.06
IT,2020-Q2,45.34
IT,2020-Q3,45.27
IT,2020-Q4,45.41
IT,2021-Q1,46.14
IT,2021-Q2,46.4
IT,2021-Q3,46.43
IT,2021-Q4,46.86
IT,2022-Q1,46.46
IT,2022-Q2,45.91
IT,2022-Q3,45.77
IT,2022-Q4,46.52
IT,2023-Q1,47.3
IT,2023-Q2,47.33
IT,2023-Q3,47.16
IT,2023-Q4,47.79
IT,2024-Q1,48.14
IT,2024-Q2,47.93
IT,2024-Q3,48.23
IT,2024-Q4,48.1
IT,2025-Q1,48.3
LT,2016-Q4,43.49
LT,2017-Q1,44.22
LT,2017-Q2,44.54
LT,2017-Q3,44.85
LT,2017-Q4,45.21
LT,2018-Q1,45.35
LT,2018-Q2,45.54
LT,2018-Q3,45.93
LT,2018-Q4,46.08
LT,2019-Q1,47.01
LT,2019-Q2,46.95
LT,2019-Q3,47.85
LT,2019-Q4,47.97
LT,2020-Q1,47.94
LT,2020-Q2,49.06
LT,2020-Q3,49.23
